Reporting Month,County,State,Residential Closings,Source
2016-01,Robertson,Tennessee,68,Redfin County Market Tracker
2016-01,Rutherford,Tennessee,353,Redfin County Market Tracker
2016-01,Sumner,Tennessee,185,Redfin County Market Tracker
2016-01,Williamson,Tennessee,334,Redfin County Market Tracker
2016-01,Wilson,Tennessee,181,Redfin County Market Tracker
2016-02,Cheatham,Tennessee,43,Redfin County Market Tracker
2016-02,Davidson,Tennessee,846,Redfin County Market Tracker
2016-02,Dickson,Tennessee,49,Redfin County Market Tracker
2016-02,Maury,Tennessee,111,Redfin County Market Tracker
2016-02,Montgomery,Tennessee,304,Redfin County Market Tracker
2016-02,Robertson,Tennessee,73,Redfin County Market Tracker
2016-02,Rutherford,Tennessee,409,Redfin County Market Tracker
2016-02,Sumner,Tennessee,240,Redfin County Market Tracker
2016-02,Williamson,Tennessee,302,Redfin County Market Tracker
2016-02,Wilson,Tennessee,174,Redfin County Market Tracker
2016-03,Cheatham,Tennessee,37,Redfin County Market Tracker
2016-03,Davidson,Tennessee,1132,Redfin County Market Tracker
2016-03,Dickson,Tennessee,68,Redfin County Market Tracker
2016-03,Maury,Tennessee,153,Redfin County Market Tracker
2016-03,Montgomery,Tennessee,368,Redfin County Market Tracker
2016-03,Robertson,Tennessee,80,Redfin County Market Tracker
2016-03,Rutherford,Tennessee,543,Redfin County Market Tracker
2016-03,Sumner,Tennessee,313,Redfin County Market Tracker
2016-03,Williamson,Tennessee,464,Redfin County Market Tracker
2016-03,Wilson,Tennessee,235,Redfin County Market Tracker
2016-04,Cheatham,Tennessee,50,Redfin County Market Tracker
2016-04,Davidson,Tennessee,1167,Redfin County Market Tracker
2016-04,Dickson,Tennessee,67,Redfin County Market Tracker
2016-04,Maury,Tennessee,154,Redfin County Market Tracker
2016-04,Montgomery,Tennessee,352,Redfin County Market Tracker
2016-04,Robertson,Tennessee,85,Redfin County Market Tracker
2016-04,Rutherford,Tennessee,574,Redfin County Market Tracker
2016-04,Sumner,Tennessee,323,Redfin County Market Tracker
2016-04,Williamson,Tennessee,488,Redfin County Market Tracker
2016-04,Wilson,Tennessee,238,Redfin County Market Tracker
2016-05,Cheatham,Tennessee,76,Redfin County Market Tracker
2016-05,Davidson,Tennessee,1354,Redfin County Market Tracker
2016-05,Dickson,Tennessee,66,Redfin County Market Tracker
2016-05,Maury,Tennessee,180,Redfin County Market Tracker
2016-05,Montgomery,Tennessee,385,Redfin County Market Tracker
2016-05,Robertson,Tennessee,99,Redfin County Market Tracker
2016-05,Rutherford,Tennessee,599,Redfin County Market Tracker
2016-05,Sumner,Tennessee,375,Redfin County Market Tracker
2016-05,Williamson,Tennessee,558,Redfin County Market Tracker
2016-05,Wilson,Tennessee,272,Redfin County Market Tracker
2016-06,Cheatham,Tennessee,53,Redfin County Market Tracker
2016-06,Davidson,Tennessee,1447,Redfin County Market Tracker
2016-06,Dickson,Tennessee,55,Redfin County Market Tracker
2016-06,Maury,Tennessee,183,Redfin County Market Tracker
2016-06,Montgomery,Tennessee,398,Redfin County Market Tracker
2016-06,Robertson,Tennessee,100,Redfin County Market Tracker
2016-06,Rutherford,Tennessee,696,Redfin County Market Tracker
2016-06,Sumner,Tennessee,386,Redfin County Market Tracker
2016-06,Williamson,Tennessee,611,Redfin County Market Tracker
2016-06,Wilson,Tennessee,263,Redfin County Market Tracker
2016-07,Cheatham,Tennessee,48,Redfin County Market Tracker
2016-07,Davidson,Tennessee,1301,Redfin County Market Tracker
2016-07,Dickson,Tennessee,51,Redfin County Market Tracker
2016-07,Maury,Tennessee,146,Redfin County Market Tracker
2016-07,Montgomery,Tennessee,414,Redfin County Market Tracker
2016-07,Robertson,Tennessee,103,Redfin County Market Tracker
2016-07,Rutherford,Tennessee,696,Redfin County Market Tracker
2016-07,Sumner,Tennessee,361,Redfin County Market Tracker
2016-07,Williamson,Tennessee,631,Redfin County Market Tracker
2016-07,Wilson,Tennessee,295,Redfin County Market Tracker
2016-08,Cheatham,Tennessee,56,Redfin County Market Tracker
2016-08,Davidson,Tennessee,1320,Redfin County Market Tracker
2016-08,Dickson,Tennessee,75,Redfin County Market Tracker
2016-08,Maury,Tennessee,198,Redfin County Market Tracker
2016-08,Montgomery,Tennessee,417,Redfin County Market Tracker
2016-08,Robertson,Tennessee,119,Redfin County Market Tracker
2016-08,Rutherford,Tennessee,671,Redfin County Market Tracker
2016-08,Sumner,Tennessee,393,Redfin County Market Tracker
2016-08,Williamson,Tennessee,573,Redfin County Market Tracker
2016-08,Wilson,Tennessee,255,Redfin County Market Tracker
2016-09,Cheatham,Tennessee,62,Redfin County Market Tracker
2016-09,Davidson,Tennessee,1175,Redfin County Market Tracker
2016-09,Dickson,Tennessee,65,Redfin County Market Tracker
2016-09,Maury,Tennessee,174,Redfin County Market Tracker
2016-09,Montgomery,Tennessee,342,Redfin County Market Tracker
2016-09,Robertson,Tennessee,143,Redfin County Market Tracker
2016-09,Rutherford,Tennessee,664,Redfin County Market Tracker
2016-09,Sumner,Tennessee,329,Redfin County Market Tracker
2016-09,Williamson,Tennessee,524,Redfin County Market Tracker
2016-09,Wilson,Tennessee,276,Redfin County Market Tracker
2016-10,Cheatham,Tennessee,50,Redfin County Market Tracker
2016-10,Davidson,Tennessee,1119,Redfin County Market Tracker
2016-10,Dickson,Tennessee,60,Redfin County Market Tracker
2016-10,Maury,Tennessee,169,Redfin County Market Tracker
2016-10,Montgomery,Tennessee,362,Redfin County Market Tracker
2016-10,Robertson,Tennessee,97,Redfin County Market Tracker
2016-10,Rutherford,Tennessee,585,Redfin County Market Tracker
2016-10,Sumner,Tennessee,339,Redfin County Market Tracker
2016-10,Williamson,Tennessee,516,Redfin County Market Tracker
2016-10,Wilson,Tennessee,265,Redfin County Market Tracker
2016-11,Cheatham,Tennessee,43,Redfin County Market Tracker
